index,is_correct
0,True
1,False
2,False
3,False
4,False
5,False
6,False
7,True
8,True
9,False
10,False
11,True
12,False
13,False
14,False
15,False
16,True
17,True
18,False
19,True
20,True
21,False
22,True
23,False
24,True
25,True
26,True
27,False
28,True
29,True
30,False
31,False
32,False
33,False
34,False
35,False
36,True
37,False
38,True
39,True
40,False
41,False
42,True
43,False
44,False
45,True
46,True
47,True
48,True
49,False
50,True
51,False
52,False
53,True
54,False
55,False
56,False
57,True
58,True
59,True
60,False
61,True
62,False
63,False
64,True
65,False
66,True
67,True
68,False
69,True
70,True
71,False
72,False
73,False
74,True
75,True
76,True
77,False
78,True
79,True
80,True
81,False
82,False
83,True
84,False
85,False
86,False
87,True
88,False
89,False
90,True
91,True
92,False
93,True
94,True
95,True
96,False
97,False
98,False
99,True
